regNo,courseCode
22bce1001,CSE2004
22bce1001,CSE4001
22bce1001,DSN3099
22bce1002,CSE3015
22bce1002,MAT2002
22bcy1001,CSE2006
22bcy1001,CSE3005
22bai1001,CSA4002
22bai1001,CSE3015
23bce2001,CSE2004
23bce2001,CSE4001
23bce2002,CSE3015
23bce2002,MAT2002
23bcy2001,CSE2006
23bcy2001,CSE3005
23bai2001,CSA4002
23bai2001,CSE3015
24bce3001,CSE3001
24bce3001,DSN2098
24bce3002,MAT3002
24bce3002,CSE2006
24bcy3001,CSE2001
24bcy3001,CSE2003
24bai3001,CDS3005
24bai3001,CSD3009
22mim1001,CSA4001
22mim1001,CSA4002
23mim2001,CSE2004
23mim2001,CSE3015
24mim3001,CSA2001
24mim3001,CSE2002
22mip1001,CDS3006
22mip1001,CDS4002
23mip2001,CSE3003
23mip2001,CSE3015
24mip3001,CSA2002
24mip3001,CSE2002
22mei1001,CSD4002
22mei1001,CSD5005
23mei2001,CSE3003
23mei2001,CSE3015
